"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9006936","Signaling by TGFB family members","49/2457","158/11146",0.310126582278481,1.40686645749937,2.73891668566113,0.00529975388494571,0.0288827417605173,0.0211372445966693,"ACVR1B/AGO3/APH1A/ARRB2/BMPR1B/CCNK/DRAP1/F11R/FBN1/FKBP1A/FURIN/HDAC1/INHBA/JUNB/LTBP3/LTBP4/MEN1/MOV10/MYC/PARD3/PPP1CA/PPP1CC/PPP1R15A/PRKCZ/RARA/RBL1/RHOA/RPS27A/SERPINE1/SMAD2/SMAD3/SMAD4/SMURF1/STAT1/STRAP/TCF12/TCF4/TGFB1/TIMP1/TNRC6B/TNRC6C/UBA52/UBB/UBC/UBE2D1/UBE2D3/YBX1/ZFYVE16/ZFYVE9",49
"R-HSA-9612973","Autophagy","49/2457","158/11146",0.310126582278481,1.40686645749937,2.73891668566113,0.00529975388494571,0.0288827417605173,0.0211372445966693,"ARL13B/ATG13/ATG4C/ATG4D/ATG9B/ATM/CHMP2A/CHMP2B/CHMP4B/CHMP4C/CHMP6/CSNK2B/DYNC1I1/DYNC1LI1/EEF1A1/HSP90AA1/HSP90AB1/MAP1LC3B/MTMR14/NBR1/PARK7/PCNT/PGAM5/PIK3C3/PINK1/PLIN2/PLIN3/PRKAB1/PRKAG2/RPS27A/RRAGB/SLC38A9/SQSTM1/TOMM22/TOMM40/TSC1/TUBB1/TUBB2A/TUBB4B/TUBB6/UBA52/UBAP1/UBB/UBC/UBE2D2/UBE2D3/UBE2N/VDAC1/VIM",49
"R-HSA-1227990","Signaling by ERBB2 in Cancer","12/2457","26/11146",0.461538461538462,2.09373532450456,2.96895923912119,0.00542362859089993,0.0293342004424563,0.0214676354115219,"CDC37/ERBB2/GAB1/GRB2/HBEGF/HSP90AA1/KRAS/NRAS/NRG4/PIK3CA/PIK3R1/SOS1",12
"R-HSA-9669938","Signaling by KIT in disease","10/2457","20/11146",0.5,2.26821326821327,3.01852987552661,0.00544710703035629,0.0293342004424563,0.0214676354115219,"GRB2/JAK2/KRAS/NRAS/PIK3CA/PIK3R1/PIK3R3/SOS1/STAT1/STAT3",10
"R-HSA-9670439","Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","10/2457","20/11146",0.5,2.26821326821327,3.01852987552661,0.00544710703035629,0.0293342004424563,0.0214676354115219,"GRB2/JAK2/KRAS/NRAS/PIK3CA/PIK3R1/PIK3R3/SOS1/STAT1/STAT3",10
"R-HSA-68886","M Phase","114/2457","417/11146",0.273381294964029,1.24017416103747,2.65810665762831,0.00546503359272413,0.0293342004424563,0.0214676354115219,"ACTR1A/AKAP9/ALMS1/ANAPC1/ANAPC15/ANAPC4/CDC27/CENPH/CENPU/CEP131/CEP164/CEP192/CEP250/CEP290/CEP63/CEP70/CEP72/CHMP2A/CHMP2B/CHMP4B/CHMP4C/CHMP6/CLASP2/CNTRL/CSNK2B/CTDNEP1/DYNC1I1/DYNC1LI1/EMD/EML4/ENSA/GORASP2/HAUS3/HDAC8/HSP90AA1/KNTC1/LMNA/MAPRE1/MASTL/MZT2B/NCAPH2/NDE1/NEK7/NEK9/NIPBL/NUDC/NUMA1/NUP35/NUP43/NUP93/PCNT/PDS5A/POM121/PPP1CC/PPP2CA/PPP2R1A/PPP2R5A/PPP2R5C/PRKCA/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PTTG1/RAB1A/RAB1B/RAB2A/RAE1/RCC2/RPS27A/SDCCAG8/SEC13/SET/SGO2/SMC4/STAG1/SUMO1/TAOK1/TUBB1/TUBB2A/TUBB4B/TUBB6/TUBGCP2/TUBGCP3/TUBGCP4/UBA52/UBB/UBC/UBE2D1/UBE2E1/UBE2I/UBE2S/USO1/VPS4A/YWHAE/YWHAG",114
"R-HSA-174048","APC/C:Cdc20 mediated degradation of Cyclin B","11/2457","23/11146",0.478260869565217,2.16959530003008,2.98570076812425,0.00551296719426481,0.0293342004424563,0.0214676354115219,"ANAPC1/ANAPC15/ANAPC4/CDC27/RPS27A/UBA52/UBB/UBC/UBE2D1/UBE2E1/UBE2S",11
"R-HSA-450321","JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","11/2457","23/11146",0.478260869565217,2.16959530003008,2.98570076812425,0.00551296719426481,0.0293342004424563,0.0214676354115219,"IRAK1/IRAK2/NOD1/RIPK2/RPS27A/TAB1/TRAF6/UBA52/UBB/UBC/UBE2N",11
"R-HSA-73980","RNA Polymerase III Transcription Termination","11/2457","23/11146",0.478260869565217,2.16959530003008,2.98570076812425,0.00551296719426481,0.0293342004424563,0.0214676354115219,"NFIA/NFIB/NFIC/NFIX/POLR1D/POLR2E/POLR2L/POLR3A/POLR3D/POLR3GL/POLR3H",11
"R-HSA-5689603","UCH proteinases","34/2457","102/11146",0.333333333333333,1.51214217880885,2.76302712014033,0.00556259132410979,0.0294985903551277,0.0215879408112714,"ACTB/ADRM1/ASXL2/INO80D/MBD5/OGT/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RPS27A/TGFB1/UBA52/UBB/UBC/UCHL1",34
