"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-9793380","Formation of paraxial mesoderm",60,0.562465679649047,1.88724945683782,0.000200472772015224,0.00249792622121624,0.0019701795479838,3602,"tags=67%, list=26%, signal=50%","LFNG/EPHA4/PSMD9/FGFR1/DLL1/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/CTNNB1/PSMB3/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/PSME1/PSMB4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/NOTCH1/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PSMD2/PSMC2/PSMD12/EP300"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",64,0.55071641456686,1.89021259723256,0.000202710611775248,0.00250365387175044,0.00197469709531752,1411,"tags=34%, list=10%, signal=31%","ICAM1/CD96/SH2D1A/CLEC2B/CRTAM/HCST/IFITM1/KLRG1/HLA-G/NECTIN2/COL1A1/CD3E/SIGLEC10/SLAMF6/CD33/HLA-B/TREML2/HLA-A/TYROBP/NCR3LG1/B2M/ITGB2"
"R-HSA-72312","rRNA processing",193,0.398851975894934,1.6333900056409,0.000213935900118637,0.0026193195423221,0.00206592562585961,4669,"tags=59%, list=33%, signal=39%","RIOK3/EXOSC9/ERI1/DIS3/RPS16/RPS2/RPS27A/EXOSC6/FAU/NIP7/RPL23A/DDX21/RPL6/RPS27L/RPL37A/RPS7/RPS15/RPS5/UTP11/RPL26/SNU13/KRR1/RPL28/RPL14/RPS28/SENP3/UBA52/WDR18/RPL4/RPLP1/NOP10/NHP2/RPL19/RPL24/TRMT10C/RPLP2/RPL36AL/RPL27/BOP1/LTV1/RPS8/RPL7A/RPL7/RPS19/RPL10A/RPL22L1/DDX49/RPS4Y1/HSD17B10/RPL32/RPL13A/RPS13/RPL8/RPS12/RPS29/RPL29/RPL10/C1D/RPL27A/CSNK1D/RPL37/RPS9/RPL23/RPL39/TSR3/RPL18/PES1/RPL35/RPS15A/RPS11/RPL34/RPS21/RPS25/RRP36/RPLP0/RPSA/RPS20/RPS14/PNO1/RPS10/RPS26/EXOSC8/RPL38/RPL36/UTP3/EBNA1BP2/RPL17/NOP2/RPL12/RPL31/EXOSC1/RPL13/CSNK1E/RPL5/RPS24/RPS23/RPS6/TBL3/RPL15/RIOK1/RPL3/NCL/RIOK2/RPS3/MRM3/BYSL/UTP4/EMG1/RPS18/RPL30/RPL22/RPL35A/FBL"
"R-HSA-5610783","Degradation of GLI2 by the proteasome",56,0.562028307922111,1.87854845726081,0.000218078539565619,0.00262439815135377,0.00206993125723552,3507,"tags=71%, list=25%, signal=54%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/CSNK1A1/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PRKACA/PSMD2/PSMC2/PSMD12"
"R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome",56,0.562028307922111,1.87854845726081,0.000218078539565619,0.00262439815135377,0.00206993125723552,3507,"tags=71%, list=25%, signal=54%","PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/CSNK1A1/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PRKACA/PSMD2/PSMC2/PSMD12"
"R-HSA-3858494","Beta-catenin independent WNT signaling",126,0.446555478368779,1.72720099476383,0.000222552655784995,0.0026555435537735,0.00209449644828876,3309,"tags=53%, list=24%, signal=41%","ROR2/PDE6A/TCF7/PRKCA/PRKCG/FZD8/PSMD9/SMURF1/PDE6G/GNG11/UBC/WNT5B/PSMA1/GNG5/GNG4/PSMB1/PSMA2/PSMD7/MOV10/PSMB2/RHOA/PPP3R1/KRAS/PFN1/PSMC1/CALM1/CTNNB1/RPS27A/PSMB3/UBB/PSMB7/CLTB/PSMC4/GNB1/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/RAC1/PSME2/PSMB6/PSMC3/ARRB2/UBA52/PSME1/PSMB4/GNB4/PSME4/PSMD14/PSMD13/PSMD4/DVL2/PSMB10/GNB2/PSMC5/AGO2/AP2A1/PSMA5/CLTA/PSMA4/PSMA7/TCF7L2/PSMA6/SEM1/CALM3/PSMD2"
"R-HSA-202403","TCR signaling",107,0.472909703644233,1.78349037710239,0.000228457760735049,0.00270309686651217,0.00213200298607233,3714,"tags=61%, list=27%, signal=45%","RIPK2/NFKB1/NFKBIA/CD3E/PSMD9/TRAT1/ZAP70/UBC/PSMA1/PIK3R1/VASP/PSMB1/PSMA2/PSMD7/PSMB2/LCK/UBE2D1/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/PSMD8/PSMD3/PSME3/BCL10/UBE2D2/TRAF6/PSMD6/PSMB5/PSME2/UBE2N/PSMB6/PIK3CA/PSMC3/UBA52/PSME1/PSMB4/CDC34/PSME4/PSMD14/PSMD13/PSMD4/ITK/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/PSMA6/SEM1/PTPRC/PSMD2/HLA-DPA1/HLA-DQA1/PSMC2/PSMD12/CHUK/WAS/RELA/MALT1/NCK1/CSK/HLA-DQB1"
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling",34,0.646352982766401,1.98277076795434,0.000239016266714059,0.00278128019449087,0.00219366821560098,2053,"tags=50%, list=15%, signal=43%","ISG15/TNFAIP3/IFIH1/NLRC5/UBC/CYLD/TRIM25/HERC5/UBE2L6/UBE2D1/RPS27A/UBB/PIN1/UBE2D2/TAX1BP1/UBE2D3/UBA52"
"R-HSA-5357801","Programmed Cell Death",179,0.40358019688256,1.64194793180073,0.000238991204223659,0.00278128019449087,0.00219366821560098,3242,"tags=45%, list=23%, signal=35%","PMAIP1/PELI1/BMF/IRF1/LMNA/TNFSF10/BIRC3/TICAM1/PSMD9/UBC/DAPK2/VIM/FAS/PSMA1/CHMP4B/SDCBP/STK24/PSMB1/PSMA2/TNFRSF10B/PSMD7/HSP90AA1/PSMB2/YWHAG/PPP3R1/YWHAH/YWHAQ/STK26/PSMC1/CTNNB1/RPS27A/TP53BP2/PSMB3/C1QBP/UBB/PSMB7/CHMP2B/PSMC4/PPP1R13B/PSMD8/PSMD3/BCL2L11/PSME3/BBC3/OPA1/PSMD6/PSMB5/PSME2/CDC37/BAK1/PSMB6/E2F1/PSMC3/STAT3/UBA52/PSME1/PSMB4/BAX/CYCS/CASP8/CHMP2A/PSME4/PSMD14/PSMD13/HMGB2/PSMD4/YWHAE/YWHAZ/PSMB10/PSMC5/PLEC/CFLAR/MAGED1/FLOT1/PSMA5/PSMA4/PSMA7/ARHGAP10/PSMA6/RIPK1/SEM1"
"R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs",65,0.54867507952854,1.88960784717943,0.000260477408619922,0.00300616550276107,0.0023710411224678,3507,"tags=65%, list=25%, signal=49%","PSMD9/UBC/PSMA1/CDK7/PSMB1/PSMA2/PSMD7/PSMB2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/PSMC4/SPI1/PSMD8/PSMD3/PSME3/PSMD6/PSMB5/PSME2/PSMB6/PSMC3/UBA52/PSME1/PSMB4/PSME4/PSMD14/PSMD13/PSMD4/PSMB10/PSMC5/PSMA5/PSMA4/PSMA7/GATA2/PSMA6/SEM1/PSMD2/GATA3/PSMC2/PSMD12"
