"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"A1BG",15.6289472942881,0.233596368041074,0.410491356593223,0.306304401179925,0.47301666336548,"Not Significant"
"A1BG-AS1",112.396906961055,0.598399878496499,0.311577465771954,0.0162679591576323,0.0552007360928156,"Not Significant"
"A2M-AS1",60.3482337924071,-0.0332237110271295,0.309711694255385,0.87927155113981,0.928542088063925,"Not Significant"
"AAAS",256.981638667549,-0.0137624839031261,0.210857325308271,0.940745158235692,0.964819123390112,"Not Significant"
"AACS",375.632583394337,0.208458217240434,0.141687024408704,0.119813567255996,0.24348290897184,"Not Significant"
"AADAT",66.7551266050461,-0.121891614093089,0.266497247670172,0.569478064536673,0.713660451059563,"Not Significant"
"AAED1",420.23004762548,0.620274755799212,0.263897434874233,0.00562841766994149,0.0242756546805426,"Upregulated"
"AAGAB",453.910468178802,0.594607132692702,0.160496465527032,7.17380014044156e-05,0.000712508658173978,"Upregulated"
"AAK1",994.216347449421,-0.0766998966850814,0.164632908300695,0.613632507331131,0.747196036570203,"Not Significant"
"AAMDC",65.9488222782199,-0.0671115283309907,0.227295680503293,0.730445945813794,0.833363762942194,"Not Significant"
"AAMP",772.643129669928,0.116013113868245,0.104668169489282,0.254258032258753,0.416096175389121,"Not Significant"
"AAR2",391.680474558427,0.452969936297159,0.131460630057768,0.000292522885154469,0.0022847759624137,"Upregulated"
"AARS",662.000116256529,-0.540462363427569,0.229773742932483,0.00722607160917567,0.0295765997244256,"Downregulated"
"AARS2",371.781443359919,-0.723326957617392,0.203517868473273,0.0001002430417078,0.000938434996031498,"Downregulated"
"AARSD1",20.1460208634106,-0.0123022599826245,0.388344765885356,0.945412292775165,0.967634005159175,"Not Significant"
"AASDH",144.176672682939,-0.407775787767773,0.25929290978897,0.0584688645252805,0.144383503408532,"Not Significant"
"AASDHPPT",298.751856072675,-0.506016773558882,0.189756400586121,0.0034296218821814,0.0163758703319672,"Downregulated"
"AASS",204.853237151348,-2.79398050097388,0.607836726466696,2.26418313312004e-07,6.1698990377521e-06,"Downregulated"
"AATF",1581.05437428673,0.342565747566832,0.142382153600105,0.0101669892800063,0.0386124473033173,"Upregulated"
"AATK",48.9735823613941,-0.7582984442227,0.543989297100916,0.0228388893463448,0.0714127376912111,"Not Significant"
"AB019441.29",845.950708426216,0.405855069633169,0.159866513896688,0.00648289779711828,0.0271118841647324,"Upregulated"
"ABALON",16.8474852592287,-0.211134079279642,0.388788544906678,0.357318241490118,0.523660791866094,"Not Significant"
"ABAT",125.053301559031,-0.674754523505409,0.274724778394963,0.0038183820457431,0.0178486675631799,"Downregulated"
"ABC7-42389800N19.1",46.2845292461349,-0.0332068848478387,0.271030787944004,0.875361838858782,0.925781295864924,"Not Significant"
"ABCA1",1125.5432201837,2.07462402463949,0.300528324669429,3.47311865046736e-13,6.67814376016269e-11,"Upregulated"
"ABCA10",33.9168309421028,-2.13542755067798,0.753986245352074,0.000214400464201312,0.00176820970789255,"Downregulated"
"ABCA13",558.602895601128,-2.0645937288107,0.666201766813479,0.000101424051809583,0.000946901144908566,"Downregulated"
