"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"DOID:4194","glucose metabolism disease",392,0.379789394848308,1.68903619747403,1.34923676673148e-06,3.42215507198258e-05,2.19062683976499e-05,2067,"tags=25%, list=15%, signal=22%","CP/RRAD/H19/TNF/INHBA/IL2RA/ICAM1/PRF1/CCL5/ADM/RELB/STX1A/TRIB1/F3/RETN/SERPINE1/ABCA1/ACHE/PLAUR/GCH1/MT2A/SLC2A3/TIMP1/LMNA/IL1RN/SOCS3/PTGS2/TAP1/TNFSF10/SCD/CNTF/STAR/ATP2B1/SPHK1/SH2B3/HIF1A/HMGA1/TGFB1/VIM/NFE2L2/NAMPT/FAS/TPI1/ITGAM/DNMT3B/IGHM/PIK3R1/SREBF1/HSPA1B/CDK7/HMGCR/VEGFA/SLC11A1/EDN1/PPP1CA/APOM/ETS1/MIF/UBE2E2/SREBF2/CREM/IRS1/PTPN1/B2M/FADS2/CALM1/SOCS1/CDKN1C/SLC2A1/GGT1/HDAC1/IFNGR2/PGK1/PRNP/GLUD1/G6PD/GPX1/AIF1/PPP2CA/ACP1/TRIB3/F12/TFPI/UCP2/TAP2/GSTP1/HSPG2/CYP51A1/MPST/STAT4/PPP1CC/E2F1/STAT3/ARRB2/ADIPOR1/SCN1B/SDHB/GSR"
"DOID:0080600","COVID-19",41,0.712566008789688,2.26737571871955,1.58101316700209e-06,3.89208241406102e-05,2.49144180187017e-05,216,"tags=27%, list=2%, signal=26%","CXCL8/CCL3/TNF/IL2RA/CCL5/THBS1/F3/CXCL2/CSF1/RETN/IL2RG"
"DOID:3770","pulmonary fibrosis",74,0.600380505303876,2.10950465470847,1.84014978016145e-06,4.4005867599861e-05,2.81695109203663e-05,961,"tags=30%, list=7%, signal=28%","CXCL8/TNF/IL2RA/IL1RL1/ICAM1/F3/PLAU/STAT1/SERPINE1/GCH1/TIMP1/ANXA1/IL1RN/PTGS2/COL1A1/TGFB1/NFE2L2/HSP90AA4P/MUC1/HSPA1B/HSP90AA1/EDN1"
"DOID:3526","cerebral infarction",127,0.510178402543589,1.98459676023257,2.16620984177219e-06,5.03643788212035e-05,3.22397897503522e-05,862,"tags=20%, list=6%, signal=19%","H19/TNF/ICAM1/MYRF/EGR4/ARC/SERPINE1/UPP1/GCH1/ANXA1/NFKBIA/IL1RN/EGR2/PRKCG/HIF1A/TGFB1/VIM/NQO1/NFE2L2/NAMPT/ITGAM/HLA-B/TOMM40/HLA-A/VEGFA"
"DOID:1532","pleural disease",19,0.843478035033835,2.21750931600531,2.42738836440768e-06,5.41739249691212e-05,3.46783975467304e-05,346,"tags=42%, list=2%, signal=41%","TNF/ICAM1/CXCL2/PLAU/SERPINE1/ANXA1/IL1RN/PTGS2"
"DOID:3393","coronary artery disease",263,0.408403424742218,1.72855933606267,2.45950913838304e-06,5.41739249691212e-05,3.46783975467304e-05,1723,"tags=26%, list=12%, signal=23%","H19/TNF/INHBA/CYP1B1/SDC4/IL1RL1/ICAM1/CCL5/THBS1/ECE1/F3/MX1/PLAU/LDLR/RETN/SERPINE1/ABCA1/SERPINA1/PLAUR/GCH1/NFKBIA/SPP1/PTGS2/COL6A2/COL1A1/NLRP3/DAB2IP/TTN/HIF1A/TGFB1/VIM/NFE2L2/NAMPT/ITGAM/IL4R/COL6A3/SREBF1/HMGCR/VEGFA/EDN1/RHOA/SQSTM1/ACAT2/APOM/MIF/YBX1/CFL1/TXN/SREBF2/CSNK2B/CDKN1B/CYBA/IRS1/PTPN1/SOCS1/ITGB2/HAMP/RANBP1/IFNGR2/CS/G6PD/GPX1/MDH2/TNFRSF14/ACP1/F12/TFPI/OPA1"
"DOID:0050848","obstructive sleep apnea",24,0.804282487416673,2.24383472480196,2.78903495128706e-06,5.69371281518845e-05,3.64472089911454e-05,1248,"tags=46%, list=9%, signal=42%","PTX3/TNF/IL1RL1/ICAM1/CCL5/SERPINE1/PTGS2/CYSLTR2/MUC1/EDN1/CYBA"
"DOID:0050847","sleep apnea",29,0.758620194981881,2.213228722086,2.73173632418444e-06,5.69371281518845e-05,3.64472089911454e-05,1248,"tags=38%, list=9%, signal=35%","PTX3/TNF/IL1RL1/ICAM1/CCL5/SERPINE1/PTGS2/CYSLTR2/MUC1/EDN1/CYBA"
"DOID:4989","pancreatitis",66,0.618309667314815,2.15185667596903,2.77038157314391e-06,5.69371281518845e-05,3.64472089911454e-05,995,"tags=29%, list=7%, signal=27%","CXCL3/CTRC/ICAM1/CCL5/CXCL1/PDGFA/F3/CXCL2/SERPINE1/SERPINA1/DUSP10/NFKBIA/IL1RN/COL1A1/DLL1/FDX1/IRF9/BTG2/MIF"
"DOID:1074","kidney failure",170,0.468690467494815,1.90337015344516,3.02433909150487e-06,5.88691120834785e-05,3.76839313972088e-05,1275,"tags=22%, list=9%, signal=21%","CCL3/MSC/TNF/WT1/ICAM1/CCL5/HBEGF/ECE1/PLAU/CSF1/RETN/SERPINE1/ABCA1/PLAUR/MT2A/ANXA1/IL1RN/SPP1/PTGS2/COL1A1/HIF1A/TGFB1/NQO1/PTGER4/NFE2L2/NAMPT/DDIT3/FAS/COL6A3/HMGCR/EDN1/GTPBP4/SREBF2/GPX4/CDKN1B/CYBA/IRS1/B2M"
